"Created by: Marco Smith (marco.smith@epiuse.com) from EPI-USE Africa (Pty) LTD [ZA]"
"Created at: 2026-05-13 11:32 (GMT+02:00) Pretoria"
"Filters:"
"Account is one of [""Ohlthaver & List Group""]"
""
"CR Allocated Hours","SR allocated hours","Time log entries duration","Id","Type","Priority","Status","SLA","Updated","Created","Related Module","Subject","Description","Events > Comment"
"","","0","106066","Incident","P1: Critical","Cancelled","Paused - 0%","2022-02-01 23:52","2020-04-16 11:30","Employee Central","Replication Error: An exception with the type CX_HRPA_INVALID_INFOTYPE_DB occurred, but was neither handled locally, nor declared in a RAISING clause","Hi Matt  20 employees affected by the above error, please advise.","Hi Matt  I see you opened a ticket for this, please close this one., As below, ticket is cancelled due to duplicated tickets"
"","","0","116174","Incident","P1: Critical","Cancelled","Exceeded SLA - Paused - 133%","2022-02-02 09:45","2020-08-12 15:13","Inspire","SA Employees on Inspire","Dear Thabiso and Marco  We review this call for possibilities without our SA Employees being on SuccessFactors. Incident #P112411 - SA Employees on Inspire SuccessFactors SupportMove to PRODCreated a month ago by  Jenine Coetzee, Updated a day agoDevelop the ability to have a person on Inspire without having them on Successfactors - this is to accommodate our employees in SA. Let me know if this possibility exists to send further details of the employees that need access and where they are in the Org Structures","Change requested logged for this change.  Change Request #P120566 - Allow for SA Employees to use Inspire  "
"","","0","98140","Incident","P1: Critical","Completed","Paused - 0%","2022-02-01 23:56","2020-02-12 10:04","Employee Central","Some issues with Legal Entity & Departments associations","Some of the Legal Entity and Department associates are incorrect. Action: Amorey and team to check.","Data was corrected and needs to be verified from O&L's side., Kindly indicate what data to verify, Hi Amorey  You just need to verify that the correct Legal Entities are linked to the Departments. This should be correct as we loaded the Legal Entities based on the Cost Centres linked to each Department. Just some verification/spot check from your side that this is indeed correct on the system would be great.  Thanks Piwan"
"","","0","98141","Incident","P1: Critical","Completed","Exceeded SLA - Paused - 0%","2022-02-02 09:34","2020-02-12 10:10","Interfaces - 3rd party systems","Cost Center Code need to be adjusted","The Cost Center Codes need to be adjusted for replication.","You need to provide more detail on this, Hi Amorey  This was on our side to action. We had to change the formatting of the Cost Centre codes in SF for the replication to work.  We have completed this yesterday and all Cost Centre codes are now correct in SF.  Regards Piwan"
"","","0","98142","Incident","P1: Critical","Completed","Exceeded SLA - Paused - 1%","2022-02-02 09:33","2020-02-12 10:13","Interfaces - 3rd party systems","National ID still issue","Issue with start & end date","This should be resolved"
"","","0","98144","Incident","P1: Critical","Completed","Paused - 0%","2022-02-01 23:55","2020-02-12 10:18","Employee Central","O&L Internet connection issue","O&L needs to ensure the internet connection is working because replication require the internet connection.","Connectivity has been restored - please re test, Connectivity appears to be stable, will reopen this ticket if the issue reappears."
"","","0","98151","Incident","P1: Critical","Completed","Exceeded SLA - Paused - 0%","2022-02-02 09:16","2020-02-12 10:40","Onboarding","Banking Details not integrating from ONB","Open SAP ticket 794070 / 2020 - Banking Details not integrating from ONB Action: SAP busy addressing this issue","Still no feedback from SAP.  I have updated the ticket on launchpad asking for feedback and sent an mail to our SAP representative asking them to follow up on the ticket.  Kind Regards Tumi Mumba, SAP responded on the ticket with the attached message.  They are still investigating why wrong data is been pushed from Onboarding to Manage Pending Recruits.  Kind Regards Tumi Mumba, Hi Amorey  SAP responded with a solution with regards to the Account Type field, I can now confirm that the account type field populates correctly from ONB to Pending Recruits (as shown in the attached screenshot).  The only outstanding issue is the Currency field and the SAP consultant confirmed that they are busy looking for a solution for this, will continue providing you feedback.  Kind Regards Tumi Mumba, Hi Amorey  I can confirm now that the currency field populates correctly with the Namibian Dollar, as shown in the attached screenshot.  Can I ask that you run a test in QA and once you are happy with everything I will move the config update to production.  Kind Regards Tumi Mumba, Hi Tumi  I tested the payment details and the currency field does successfully populate.  I also attached a screenshot."
"","","0","98154","Incident","P1: Critical","Completed","Paused - 0%","2022-02-02 09:16","2020-02-12 10:48","Onboarding","Wrong Onboarding message to HRBP's","Incorrect data in Production needs to be deleted.","Hi Amorey  This issue has been resolved, the welcome message popped up for the HRBP's because during the system copy the users who were in the onboarding process in were copied over to Production.  I have removed all of the records.  Kind Regards Tumi Mumba"
"","","0","98159","Incident","P1: Critical","Completed","Exceeded SLA - Paused - 0%","2022-02-02 09:34","2020-02-12 10:56","Interfaces - 3rd party systems","HRPB mappings issues","HRPB's not linked to correct Departments.","Mapping corrected and uploaded by Matt.  Will have to double check on all employees but seems to be correct now., Hi Amorey,  Please give feedback once you are done with your check and close this ticket if it is correct.  Matthew"
"","","0","98173","Incident","P1: Critical","Completed","Exceeded SLA - Paused - 1%","2022-02-01 23:57","2020-02-12 11:36","Employee Central","Personnel Area and PSA have incorrect codes","Codes against PA/PSA incorrect - this is a significant replication risk","What about the PA code that is 110.... instead of the 4 digit code?, Data on PSA and PA not correct  PA 3800 is not Broll Windhoek - where did this data come from?  , This is what our PA and PSA codes look like in the workbook.   PA: 3000  PSA: 3001  Please see the screenshots again on what this code looks like on position and employee level.  On above comment you also refer to PA COE IT/IS (11001115) to COE Projects(11001117).  This 11 code is not correct.  The PA and PSA is a 4 digit code, as per your uploads.  , Hi Amorey,  Thank you for logging the ticket. I will investigate the data issue and get back to asap.  Kind regards, Marco Smith, Hi Amorey,  Apologies I meant to say PSA instead of PA.  For position 20002832, the current config in EC is that the PA is 1100 and the PSA is 11001117. The Data import file had the PA 1100 for 20002832 and PSA of 1115. The reason for the difference is because this was changed on the employee on 12 Feb 2020.  Kind regards, Marco Smith, Hi Amorey,  There reason for the 8 digit code for PSA is because from SAP we found that PSA are associated to many PA, however in EC we have only a 1-to-1 relationship between PA and PSA and require a unique code for PSA. This meant that in EC the PA and PSA had to be concatenated to create a unique PSA which could then be assigned to only 1 PA.  Eg from SAP the PA is 3800 and PSA is 3806, in EC we then have a PSA of 38003806 which is associated to 1 PA 3800.  It is not in all cases that a PSA needs to be associated to more than 1 PA, however to keep it consistent all PSA had to be transformed.  I have confirmed with Matt that this will not cause a replication error and has been tested.  Kind regards, Marco Smith  , Hi Amorey,  I have checked the data workbook, the import files, as well as what is on the system and confirm that the position on EC carries the Personnel Area and Personnel Subarea as per the data workbook. However I noticed that you changed the Personnel Area for Christiane from COE IT/IS (11001115) to COE Projects(11001117). Could you please confirm what the correct Personnel Area and Personnel Subarea should be for the position 20002832?  Kind regards, Marco Smith, Hi Amorey,  When you have a moment could you please confirm if you are happy with the feedback? Or whether there is a data issue that we need to investigate further?  Kind regards, Marco Smith"
"","","0","98276","Incident","P1: Critical","Completed","Exceeded SLA - Paused - 0%","2022-02-01 23:57","2020-02-13 12:05","Employee Central","Rules not triggered","During import important rules were inactivated. This has serious business impact.",""
